"Idade","Renda","Utilizou"
53.3416803427049,8.4138102042025,"N"
43.6279188374975,4.98382125622533,"S"
41.6713837919159,4.53088200719968,"S"
32.535861321984,6.83622433745312,"S"
35.0093495913367,4.92460717946296,"S"
36.3719203258629,5.56370356939158,"S"
46.4540185857827,7.51904564945444,"N"
54.0884134477965,8.27137833460558,"N"
40.0063898336076,5.30824638267128,"S"
43.1489055368741,6.3915963033885,"S"
35.4433152363101,5.85406363675259,"S"
40.0771539061396,6.34970145817563,"S"
49.7832758275132,8.41478133790863,"N"
42.2135132306106,4.42154223149209,"S"
46.5323195581201,7.08933352858181,"N"
40.5164608060474,5.21274390239684,"S"
51.1620724719195,8.80795364001401,"N"
51.7057575912554,8.18835852506197,"N"
49.3050176912176,7.76033746478512,"N"
40.3874808917186,7.52764967331283,"N"
56.7039279707098,8.90293268595415,"N"
50.0658814188575,7.83837730407151,"N"
53.2218322817331,9.82912948694498,"N"
49.4258186503262,7.58645495690236,"N"
57.38625563347,8.64826535219205,"N"
32.2107060156697,6.70081265568122,"S"
33.5148594905151,6.40824483497435,"S"
38.4930945323124,5.17623338190496,"S"
39.3222927945468,4.91435541572518,"S"
51.9205680339686,9.237903064671,"N"
49.6951336835478,6.5845140859723,"N"
48.3938413986757,7.55502111302544,"N"
58.9377424236896,10.0954079440232,"N"
34.2866398716547,6.46594546430047,"S"
50.5852367858001,8.17373138165441,"N"
42.0654270285071,6.32966447670543,"S"
46.0288916592933,7.70719404976511,"N"
55.9654244439871,9.60354016335481,"N"
38.9523018087499,5.58430876283102,"S"
39.1358849402892,4.97495297382545,"S"
42.6364577466564,4.98988922448671,"S"
45.2837553975599,4.40415741741523,"S"
44.6851387910063,6.22142218383784,"N"
34.5270587539712,5.64688109595959,"S"
46.5624701066867,6.42187827635066,"N"
44.4462000829654,2.65678140020114,"S"
37.1979824695345,4.02859822520651,"S"
41.4950909235025,5.68344771897696,"N"
52.9164842251001,8.19932074646816,"N"
39.4642906313191,5.48519227598148,"S"
38.7371899451368,5.57505563346854,"N"
49.8687693333738,7.9116469902059,"N"
48.4620912451972,4.60950113495837,"S"
46.8863053606193,3.84685688408225,"S"
49.7034664680679,8.69140230823762,"N"
31.1925573009017,6.04357395896387,"S"
48.1609020727911,7.22228007214284,"N"
44.7012614552751,4.87529022607442,"S"
48.0811667866393,8.35716287727656,"N"
25.3162900614017,6.71140608075574,"S"
33.366251658019,6.3240046278928,"S"
55.8035071590291,8.37928299173082,"N"
44.3342329756805,6.6985706804188,"N"
52.0578497864516,7.99945612686198,"N"
48.0101961270519,8.13913634063283,"N"
42.0272596375624,4.89268464741819,"S"
46.3098535219294,5.79350795357115,"N"
44.6296653781387,5.0194792097893,"S"
44.6050057684839,6.88963689307129,"N"
35.9202652165219,6.55208013359183,"S"
51.3708533813583,8.04893834596473,"N"
43.5714686148241,3.99976336699507,"S"
55.1761247855033,8.44085728925669,"N"
38.3042328248965,6.47611711718439,"S"
43.2008782594167,6.57314569956091,"N"
40.9094464678477,4.82600962960657,"S"
50.7320047642955,8.32773319952702,"N"
52.8042523296804,8.15610572353872,"N"
54.2958009046854,8.72993919238872,"N"
39.917370398029,5.58610599099819,"S"
35.5714919193041,5.74481722906964,"S"
51.071336686874,7.85877673940628,"N"
56.489581271777,9.88682646182509,"N"
38.4250836884306,4.58278857633075,"S"
54.4446441180009,9.92133695627211,"N"
38.5675471647885,5.55886375881596,"S"
55.6721081768759,9.09233840437768,"N"
51.1381126185721,8.10437720041003,"N"
54.2088611923641,9.19649228554923,"N"
42.2766176975701,4.24180469231197,"S"
52.0110238870622,8.63216952278027,"N"
48.1860385429388,4.06938655483583,"S"
52.6019296383917,7.91645190293775,"N"
45.9756814776939,7.47740328578136,"N"
55.943980664999,9.3794662744348,"N"
39.1079784464427,6.10038185401111,"S"
52.7338062927154,8.21723674396061,"N"
44.0726099332942,7.69753533730738,"N"
51.9333929447634,9.86284041953435,"N"
34.992804369104,5.69422310861418,"S"
46.3425588979831,7.28122987160273,"N"
41.8935104677554,6.40330535628248,"S"
47.6092269408154,6.73360302707657,"N"
47.3713209826607,7.91390654792738,"N"
53.0401148840708,8.6529650081976,"N"
50.3132535483175,7.78140259037506,"N"
45.164492873302,6.33149362839706,"N"
48.4581772713534,8.42714387057063,"N"
53.2622890383797,9.40690562768302,"N"
45.5941856501932,8.23791340021528,"N"
43.9761826282266,4.61013176991754,"S"
